dataset,seed,severity,method,n,top1,top2,mrr,mean_rank
air_quality,3,0.75,supervised_channel_hra_ae_hgb,350,0.6542857142857142,0.82,0.7833027243614197,1.768571376800537
air_quality,3,0.75,supervised_channel_ae_only_hgb,350,0.5714285714285714,0.7971428571428572,0.7363605499267578,1.8971428871154783
air_quality,3,1.0,supervised_channel_hra_ae_hgb,350,0.6,0.8171428571428572,0.7591598033905029,1.75428569316864
air_quality,3,1.0,supervised_channel_ae_only_hgb,350,0.6028571428571429,0.7914285714285715,0.7492551207542419,1.8885713815689087
air_quality,3,1.25,supervised_channel_hra_ae_hgb,350,0.7371428571428571,0.8885714285714286,0.8425238132476807,1.48285710811615
air_quality,3,1.25,supervised_channel_ae_only_hgb,350,0.7,0.84,0.8151021003723145,1.585714340209961
air_quality,3,1.5,supervised_channel_hra_ae_hgb,350,0.7942857142857143,0.9314285714285714,0.8821224570274353,1.3314285278320312
air_quality,3,1.5,supervised_channel_ae_only_hgb,350,0.7514285714285714,0.92,0.857952356338501,1.3942856788635254
air_quality,3,1.75,supervised_channel_hra_ae_hgb,350,0.8057142857142857,0.9257142857142856,0.8870000243186951,1.3200000524520874
air_quality,3,1.75,supervised_channel_ae_only_hgb,350,0.74,0.9114285714285716,0.8511905074119568,1.408571481704712
air_quality,4,0.75,supervised_channel_hra_ae_hgb,350,0.6457142857142857,0.82,0.7796224355697632,1.73714280128479
air_quality,4,0.75,supervised_channel_ae_only_hgb,350,0.5657142857142857,0.7857142857142857,0.7318469285964966,1.9057142734527588
air_quality,4,1.0,supervised_channel_hra_ae_hgb,350,0.7142857142857143,0.8628571428571429,0.827217698097229,1.5257142782211304
air_quality,4,1.0,supervised_channel_ae_only_hgb,350,0.6742857142857143,0.8342857142857143,0.7999387979507446,1.659999966621399
air_quality,4,1.25,supervised_channel_hra_ae_hgb,350,0.7771428571428571,0.8885714285714286,0.8650476336479187,1.4114285707473757
air_quality,4,1.25,supervised_channel_ae_only_hgb,350,0.6771428571428572,0.8685714285714285,0.809333324432373,1.5685714483261108
air_quality,4,1.5,supervised_channel_hra_ae_hgb,350,0.8057142857142857,0.9085714285714286,0.8827652335166931,1.3628571033477783
air_quality,4,1.5,supervised_channel_ae_only_hgb,350,0.6942857142857143,0.8828571428571429,0.8223605155944824,1.5028570890426636
air_quality,4,1.75,supervised_channel_hra_ae_hgb,350,0.8542857142857143,0.9285714285714286,0.9125714898109436,1.2571429014205933
air_quality,4,1.75,supervised_channel_ae_only_hgb,350,0.7257142857142858,0.8942857142857142,0.8403809666633606,1.4485714435577393
